"is_interactive","number_of_scripts","number_of_completed_tutorials","author_name","join_date","features","activedays","receivedpositivereviews","subscribers","score"
"1","14","1","Alex Young","2013-02-04 17:12:44","124","66","0","0","36"
"1","14","1","agoni yun","2013-01-15 17:27:57","153","58","2","0","40"
"1","14","1","Ankit Mittal","2012-12-05 05:39:34","43","3","0","0","16"
"1","14","1","User8501","2011-09-16 23:46:13","98","6","0","0","24"
"1","14","2","User614711","2013-11-24 09:50:43","76","1","0","0","17"
"1","13","1","kye joy18","2013-06-24 20:47:22","69","17","0","0","25"
"1","13","1","Pmackari","2012-04-03 17:13:08","77","38","3","1","32"
"1","12","2","Piotr ZasuÅ„","2013-11-20 15:08:06","65","1","0","0","16"
"1","12","3","Harman Bhangoo","2013-09-11 12:16:03","63","10","1","5","31"
"1","12","3","User06420","2013-11-14 10:37:18","57","4","0","0","18"
"1","12","3","Idk2134256","2013-10-16 12:12:09","57","4","0","0","18"
"1","12","3","Aman Verma4","2013-09-04 12:30:46","63","5","0","0","20"
"1","12","1","mohamed mohamed","2013-09-18 17:14:51","88","29","1","0","29"
"1","12","2","Sam Joe79","2013-11-14 12:55:08","72","3","0","0","19"
"1","12","2","Yoshiki356","2013-11-14 22:02:10","82","4","0","0","21"
"1","12","2","User14528","2013-08-16 19:22:05","79","48","0","0","29"
"1","12","1","Arthur Sanicolas","2013-09-09 17:25:50","78","23","0","0","27"
"1","12","3","LunarToje","2013-11-10 05:23:41","54","3","0","0","17"
"1","12","3","Bmaltos13","2013-09-04 22:03:30","76","19","1","0","27"
"1","12","2","Alex Kravchik","2013-11-03 08:52:45","82","2","1","0","20"
"1","12","1","Akshay Savadatti","2013-06-19 00:31:04","66","8","1","0","24"
"1","12","2","Siddharth Patel","2012-10-29 22:33:25","72","18","0","0","26"
"1","12","1","Adrian_Nita","2012-10-24 21:30:27","100","69","7","0","41"
"1","11","1","RJ Rodriquez","2013-10-10 17:23:09","88","11","0","0","27"
"1","11","1","Toree Mann","2013-09-10 17:19:15","80","29","2","0","30"
"1","11","1","motherofmany_parra_d","2013-06-22 01:23:43","106","17","0","0","29"
"1","11","1","M3XL Developments","2013-08-17 01:16:46","84","22","0","0","28"
"1","11","1","DL6DBN/AA9KJ","2013-02-15 09:52:00","87","54","0","0","31"
"1","11","1","KRUNAL JADEJA","2013-02-01 00:13:50","38","23","0","0","23"
"1","11","1","Jagan_Ninja","2013-02-02 01:54:40","95","31","2","0","32"
"1","11","1","goosefish","2012-11-28 10:03:29","61","9","0","0","24"
"1","10","1","AndyRageMaster","2013-10-22 01:00:11","58","25","2","1","28"
"1","10","1","TheRainyAsian","2013-09-04 05:18:42","81","27","17","1","39"
"1","10","1","malik ford","2013-09-10 17:17:28","75","30","1","0","29"
"1","10","2","Junjie Lin","2013-11-20 15:31:33","64","1","0","0","16"
"1","10","2","aSacrip_Is2short","2012-06-24 11:43:35","94","12","0","0","28"
"1","10","2","User979143","2013-08-16 19:22:09","95","54","0","0","32"
"1","10","2","Johnathan","2013-11-14 15:17:11","56","6","0","0","20"
"1","10","1","Octopickle","2013-11-09 17:47:56","59","7","0","0","21"
"1","10","2","GingerKim","2012-05-09 01:08:36","59","14","0","0","24"
"1","10","2","Will_Singleton","2013-11-07 18:09:32","45","8","0","0","21"
"1","10","2","sangam biradar ","2013-11-13 11:22:34","64","6","0","0","21"
"1","10","1","physics cat","2013-08-11 01:36:42","183","80","7","0","51"
"1","10","2","User125275","2013-10-30 06:13:11","76","8","0","0","24"
"1","10","2","XYMaster","2013-10-21 19:11:39","61","25","4","0","30"
"1","10","2","LilCutenez","2013-10-31 04:47:34","88","6","0","0","23"
"1","10","2","Maria Ure","2013-11-03 08:53:09","78","6","0","0","22"
"1","10","1","zaven.ham","2013-08-16 16:00:40","104","16","0","0","29"
"1","10","1","Mike Dawg","2011-10-16 17:32:02","20","12","13","0","31"
"1","10","1","MarG","2011-07-26 23:31:54","237","18","2","0","44"
"1","9","1","ComputerCurtis","2013-11-20 18:22:18","65","3","0","0","18"
"1","9","1","Thoi Tyson","2013-06-24 20:45:37","94","19","0","0","28"
"1","9","3","heyitevilynnn","2013-10-21 21:29:44","74","21","0","0","27"
"1","9","1","Caitlin Homfray","2013-09-11 12:21:36","86","13","6","4","37"
"1","9","3","User638677","2013-11-11 17:32:03","45","3","0","0","16"
"1","9","1","GARRETT G.","2013-09-04 22:06:32","59","21","1","0","26"
"1","9","3","GiantDemo","2013-10-28 12:53:41","134","13","1","0","33"
"1","9","1","sopranje","2011-08-06 10:14:22","243","123","4","0","58"
"1","9","1","Towmonster","2013-05-27 03:04:49","112","67","0","0","35"
"1","9","1","Brian Prince","2013-01-29 19:43:48","125","33","5","3","41"
"1","9","1","Kirk Pattinson","2013-01-31 09:00:16","236","42","0","0","45"
"1","9","1","User02590","2013-05-19 12:06:49","135","5","0","0","27"
"1","9","1","athreya86","2011-11-16 21:25:59","55","90","0","0","32"
"1","9","1","MrArdaOzkal","2013-04-12 22:13:52","80","15","0","0","27"
"1","9","3","User5857","2011-12-01 20:04:57","66","7","0","0","22"
"1","8","2","Zach Smith","2013-10-29 23:00:50","46","12","0","0","23"
"1","8","2","Jaffa Cake Guy ","2013-11-17 18:44:16","63","4","0","0","19"
"1","8","2","PikaChuChuTrain","2013-09-04 18:36:03","46","27","0","0","24"
"1","8","2","User861815","2013-11-21 13:10:42","57","2","0","0","16"
"1","8","2","Burnsy Junior","2013-11-14 10:38:36","59","5","0","0","19"
"1","8","2","j.mistry19","2013-10-09 12:18:02","58","4","0","0","18"
"1","8","2","Florence Plane","2013-11-14 10:37:26","64","4","0","0","19"
"1","8","2","Sam Davies","2013-11-14 10:38:28","58","4","0","0","18"
"1","8","1","Rion_Shooter","2013-09-11 12:16:13","82","15","1","11","38"
"1","8","2","George Watts","2013-11-14 10:37:13","50","4","0","0","18"
"1","8","2","Zac Collingbourne","2013-10-22 15:54:06","75","4","2","0","22"
"1","8","2","HenryKing21","2013-10-15 15:51:37","66","4","0","0","19"
"1","8","2","Erin Millar","2013-11-12 15:25:22","60","2","1","0","18"
"1","8","2","megan walker","2013-11-14 10:37:37","61","4","0","0","19"
"1","8","2","Joseph Whitty","2013-11-14 10:37:27","61","4","0","0","19"
"1","8","2","Lynn Ferguson","2013-11-18 00:15:00","51","2","1","0","17"
"1","8","2","Peter Heldens","2011-11-17 22:03:49","414","383","435","84","166"
"1","8","2","User020824","2013-11-16 04:57:55","50","3","0","0","17"
"1","8","1","sdemirel","2013-01-26 16:53:48","91","23","0","0","29"
"1","8","2","Facior Pensword","2013-11-16 06:20:48","21","3","0","0","14"
"1","8","2","Daniel Campbell","2013-08-28 14:40:33","59","9","0","0","23"
"1","8","2","Alice Lowdon","2013-11-15 12:16:14","36","1","0","0","13"
"1","8","2","User79965","2013-11-13 06:20:08","58","5","0","0","19"
"1","8","1","User203620","2013-10-11 17:16:51","64","33","1","0","28"
"1","8","2","User24796","2013-10-29 14:59:08","71","7","0","0","23"
"1","8","2","GoaDevil","2013-01-12 20:47:53","321","171","1","0","68"
"1","8","1","douglas johansson","2013-05-30 09:48:15","96","40","0","0","31"
"1","8","1","Camthekills","2013-11-01 16:42:40","57","14","0","0","24"
"1","8","2","User74370","2013-11-03 09:05:05","50","3","0","0","17"
"1","8","1","salma haji","2013-06-24 20:51:13","56","16","0","0","24"
"1","8","1","Domonic Wilks","2013-06-19 19:10:57","14","10","0","0","20"
"1","8","1","dat luong8","2013-03-22 16:22:49","101","32","0","0","31"
"1","8","1","Irish Scott","2012-12-09 02:17:47","50","6","2","0","22"
"1","7","1","Philipp Weigel","2013-09-04 20:35:24","68","27","0","0","26"
"1","7","1","Dakota Parrish","2013-10-10 17:25:31","81","12","0","0","27"
"1","7","1","TreSean Levias","2013-11-04 17:42:00","76","12","1","0","27"
"1","7","1","User564291","2012-04-06 10:08:03","50","18","0","0","24"
"1","7","1","tomicCat","2013-09-18 00:11:33","270","62","2","1","54"
"1","7","1","BenjZorn","2012-02-05 20:43:08","74","101","0","0","35"
"1","7","1","Brennan Hammond","2013-09-04 22:10:25","74","23","2","0","29"
"1","7","1","Joseph Choe","2013-10-21 22:52:14","61","19","0","0","25"
"1","7","1","Shelly Horowitz","2013-11-03 08:53:56","78","6","0","0","22"
"1","7","1","saida ali","2013-10-07 22:14:30","11","6","0","0","16"
"1","7","1","crystal parong","2013-10-04 22:33:38","9","8","0","0","17"
"1","7","1","RaymanRush Ryan","2013-10-04 18:20:14","62","14","0","0","25"
"1","7","1","Rich Ledbetter","2013-05-22 06:16:03","95","82","2","0","37"
"1","7","1","UON.Mehdi","2013-05-27 03:05:00","104","42","0","0","32"
"1","7","1","User51663","2013-02-27 17:18:59","229","116","1","0","52"
"1","7","1","christian cisneros","2013-03-22 16:33:01","81","21","0","0","28"
"1","7","1","User249516","2013-04-18 19:30:54","31","11","2","0","24"
"1","7","1","zippfel66","2013-05-23 19:01:10","24","4","0","0","15"
"1","7","1","GenericUser","2013-03-15 03:30:57","116","32","3","0","35"
"1","7","1","Lime Green V","2012-06-28 12:16:45","274","114","4","0","60"
"1","7","1","Veeru Sharma","2012-10-25 07:47:33","39","8","0","0","20"
"1","7","1","katamari","2012-06-23 07:01:35","53","20","1","0","26"
"1","6","2","User624767","2013-06-29 23:36:21","40","11","0","0","23"
"1","6","1","nguyeale001","2013-11-20 20:42:51","67","2","0","0","17"
"1","6","1","All_Colombian11","2013-09-04 18:39:27","71","16","2","0","28"
"1","6","1","The Asian Jay-Z","2013-09-04 18:39:55","95","23","8","0","37"
"1","6","1","ChonyBon","2013-10-22 18:29:26","49","20","1","0","25"
"1","6","2","Dajasha Lopez","2013-11-05 16:55:54","59","11","0","0","24"
"1","6","2","paige hall","2013-11-21 13:02:54","50","1","0","0","15"
"1","6","2","Ben Binks7","2013-11-14 10:24:48","50","2","1","0","17"
"1","6","2","Alexandru Serban","2013-10-17 14:41:56","54","5","0","0","19"
"1","6","2","User33517","2013-11-14 10:25:44","50","2","0","0","16"
"1","6","2","Prashama","2013-09-13 18:38:53","85","6","0","0","23"
"1","6","2","User997278","2013-11-13 18:30:38","50","7","1","0","22"
"1","6","1","Asa Wooten","2013-10-04 18:19:30","71","11","0","0","26"
"1","6","1","Timothy Rebong","2013-10-04 18:19:30","70","12","0","0","26"
"1","6","2","emma larkin","2013-11-20 15:22:46","44","1","0","0","14"
"1","6","1","Sergey Shmarkatyuk","2013-10-01 05:01:01","114","23","0","0","31"
"1","6","2","Robert Walsh","2013-10-15 15:54:04","66","7","0","0","22"
"1","6","2","Max Peanator","2013-10-15 15:55:35","74","10","0","0","26"
"1","6","2","Emma Morter","2013-11-12 15:21:31","44","2","0","0","15"
"1","6","2","Joe Wiggin","2013-11-14 10:37:16","57","4","0","0","18"
"1","6","1","User60517","2013-10-16 14:04:42","61","7","0","0","22"
"1","6","2","Zoey Fairns","2013-08-28 14:46:08","53","8","0","0","22"
"1","6","2","Sarah Mckee","2013-08-28 14:46:50","54","10","0","0","24"
"1","6","1","akrupp19","2013-10-28 14:02:58","105","14","0","0","29"
"1","6","2","Rachel Kelly1","2013-11-15 12:16:55","50","1","0","0","15"
"1","6","2","Maria Tramontana","2013-11-15 10:28:29","13","1","0","0","11"
"1","6","1","User32342","2013-08-22 19:23:31","94","48","0","0","31"
"1","6","2","User109573","2013-08-16 19:31:24","33","51","0","0","26"
"1","6","1","Lakhdeep P","2013-09-11 12:16:06","61","13","0","4","29"
"1","6","1","Aufu (._."") Aufu","2013-10-21 19:11:55","41","24","6","1","31"
"1","6","2","User630018","2013-08-16 19:26:15","74","47","0","0","29"
"1","6","1","ramiro bustos","2013-09-27 17:44:08","46","15","0","0","23"
"1","6","2","User746607","2013-11-01 22:20:38","50","4","0","0","18"
"1","6","1","Benjamin Green","2013-11-08 13:54:55","37","1","0","0","13"
"1","6","1","NickSTyee","2013-09-04 21:59:43","62","32","3","0","30"
"1","6","1","Prachee Acharya<3","2013-09-04 18:34:22","82","17","0","0","27"
"1","6","1","Peaches123","2013-10-22 03:46:34","59","19","0","0","24"
"1","6","1","rosa malik","2013-09-10 17:22:04","54","26","0","0","25"
"1","6","1","Jianyi Guan","2013-10-04 22:30:13","14","7","0","0","17"
"1","6","1","Prince Salazar","2013-09-10 17:19:58","30","23","0","0","23"
"1","6","1","Kyle Castle","2013-10-04 18:19:31","84","8","0","0","25"
"1","6","1","Malini Oropeza","2013-10-04 18:19:30","63","9","0","0","24"
"1","6","1","Cory Palmer","2013-10-25 02:09:36","14","4","0","0","14"
"1","6","2","User840755","2013-10-26 07:19:29","12","1","0","0","11"
"1","6","1","tunalivejp","2011-08-25 15:09:12","179","62","4","0","45"
"1","6","1","Eugene Moturnak","2012-10-26 10:05:13","187","54","20","0","52"
"1","6","1","Ben Clark","2013-09-12 13:49:59","60","6","0","0","21"
"1","6","1","Arianna Arango","2013-08-15 22:40:49","69","3","2","0","20"
"1","6","1","User72116","2012-12-06 19:04:59","3","9","2","0","14"
"1","6","1","hellicik","2013-04-22 17:52:40","44","10","0","0","23"
"1","6","1","shaaaybabbby","2013-06-24 20:49:22","35","11","0","0","22"
"1","6","1","Nikhil Malhotra","2013-07-01 06:22:26","33","2","0","0","14"
"1","6","1","User958698","2013-03-13 09:47:17","26","3","0","0","14"
"1","6","1","User10819","2011-12-15 15:48:17","20","7","0","0","18"
"1","6","1","Paulo Ferreira","2012-10-25 22:17:54","108","22","3","0","33"
"1","6","1","StruMan79","2012-02-23 22:26:37","221","133","35","0","65"
"1","6","1","Symwin apps","2013-11-23 07:02:41","76","2","0","0","18"
"1","6","2","Suicune1998","2013-11-24 10:37:50","19","1","0","0","11"
"1","6","2","User259363","2013-11-22 17:21:40","40","1","0","0","14"
"1","6","2","Alfie Crowe","2013-11-15 12:19:16","69","2","0","0","17"
"1","5","1","Hafsa Abshir8","2013-11-14 21:07:20","48","3","0","0","16"
"1","5","1","TheRealChuChuTrain","2013-09-04 18:34:15","25","24","0","0","22"
"1","5","1","Johnny anaya","2013-09-04 22:03:11","40","13","0","0","23"
"1","5","1","Brady Harlin","2013-10-10 17:34:23","80","11","0","0","27"
"1","5","1","Jacob Wilkins","2013-10-16 14:53:31","77","9","0","0","25"
"1","5","1","Vegard Schjelderup Wigum","2013-11-15 09:37:54","62","4","0","0","19"
"1","5","1","User327230","2013-07-25 10:01:19","65","14","0","0","25"
"1","5","1","Jennifer  Valdez Gonzalez","2013-09-17 17:39:24","35","25","0","0","23"
"1","5","1","User92951","2013-09-27 12:34:14","89","6","4","0","27"
"1","5","1","User11878","2013-10-17 15:32:52","77","4","0","0","20"
"1","5","1","Rokesh007","2013-07-08 16:06:28","40","4","0","0","17"
"1","5","1","Glass Alchemist ","2013-09-04 22:00:03","84","27","1","0","29"
"1","5","1","Kevin Bloom","2013-10-21 23:03:15","45","14","0","0","23"
